Heart_rate_variability_ms,Sleep_Stage,Group_Label,Group_Type
40.0,REM,Above Normal (>30%),Above Normal
36.0,REM,Below Normal (<10%),Below Normal
50.0,REM,Above Normal (>30%),Above Normal
44.0,REM,Normal (10–30%),Normal
41.0,REM,Above Normal (>30%),Above Normal
41.0,REM,Above Normal (>30%),Above Normal
37.0,REM,Above Normal (>30%),Above Normal
25.0,REM,Above Normal (>30%),Above Normal
26.0,REM,Normal (10–30%),Normal
23.0,REM,Below Normal (<10%),Below Normal
49.0,REM,Above Normal (>30%),Above Normal
37.0,REM,Above Normal (>30%),Above Normal
35.0,REM,Above Normal (>30%),Above Normal
47.0,REM,Above Normal (>30%),Above Normal
52.0,REM,Below Normal (<10%),Below Normal
51.0,REM,Above Normal (>30%),Above Normal
45.0,REM,Above Normal (>30%),Above Normal
44.0,REM,Above Normal (>30%),Above Normal
44.0,REM,Above Normal (>30%),Above Normal
41.0,REM,Above Normal (>30%),Above Normal
42.0,REM,Above Normal (>30%),Above Normal
42.0,REM,Above Normal (>30%),Above Normal
43.0,REM,Above Normal (>30%),Above Normal
47.0,REM,Normal (10–30%),Normal
45.0,REM,Below Normal (<10%),Below Normal
45.0,REM,Below Normal (<10%),Below Normal
51.0,REM,Above Normal (>30%),Above Normal
52.0,REM,Above Normal (>30%),Above Normal
49.0,REM,Normal (10–30%),Normal
64.0,REM,Above Normal (>30%),Above Normal
58.0,REM,Above Normal (>30%),Above Normal
48.0,REM,Below Normal (<10%),Below Normal
38.0,REM,Above Normal (>30%),Above Normal
34.0,REM,Below Normal (<10%),Below Normal
45.0,REM,Normal (10–30%),Normal
52.0,REM,Above Normal (>30%),Above Normal
48.0,REM,Above Normal (>30%),Above Normal
43.0,REM,Below Normal (<10%),Below Normal
43.0,REM,Below Normal (<10%),Below Normal
43.0,REM,Below Normal (<10%),Below Normal
30.0,REM,Normal (10–30%),Normal
30.0,REM,Normal (10–30%),Normal
48.0,REM,Above Normal (>30%),Above Normal
48.0,REM,Above Normal (>30%),Above Normal
