Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-03-25 23:42:14,,UTC-04:00,2025-03-25 23:42:14,2025-03-26 09:08:57,90,15.2,537,566,225,118,194,29,598,114,95,67,false
2025-03-25 00:06:05,2025-03-25 23:42:14,UTC-04:00,2025-03-25 00:06:05,2025-03-25 06:23:53,61,17.1,361,377,143,81,137,16,590,111,95,73,false
2025-03-24 01:44:34,2025-03-25 00:06:05,UTC-04:00,2025-03-24 01:44:34,2025-03-24 08:32:39,64,16.1,398,405,109,91,198,7,622,118,98,68,false
2025-03-23 00:45:05,2025-03-24 01:44:34,UTC-04:00,2025-03-23 00:45:05,2025-03-23 07:08:10,61,17.5,371,383,142,124,105,12,608,64,96,70,false
2025-03-21 23:16:35,2025-03-23 00:45:05,UTC-04:00,2025-03-21 23:16:35,2025-03-22 06:51:18,81,17.1,428,442,245,99,84,14,527,50,97,70,false
2025-03-21 00:32:00,2025-03-21 23:16:35,UTC-04:00,2025-03-21 00:32:00,2025-03-21 09:27:57,86,16.8,469,534,268,75,126,65,548,67,87,77,false
2025-03-20 01:19:32,2025-03-21 00:32:00,UTC-04:00,2025-03-20 01:19:32,2025-03-20 08:18:12,75,17.2,399,409,226,106,67,10,534,33,97,68,false
2025-03-18 23:42:23,2025-03-20 01:19:32,UTC-04:00,2025-03-18 23:42:23,2025-03-19 09:11:01,91,17.1,550,568,247,148,155,18,602,112,96,67,false
2025-03-18 00:40:17,2025-03-18 23:42:23,UTC-04:00,2025-03-18 00:40:17,2025-03-18 06:47:02,61,17.3,344,356,163,152,29,12,568,89,97,76,false
2025-03-16 23:49:42,2025-03-18 00:40:17,UTC-04:00,2025-03-16 23:49:42,2025-03-17 07:29:42,71,16.8,432,454,231,84,117,22,612,127,95,74,false
2025-03-16 03:15:51,2025-03-16 23:49:42,UTC-04:00,2025-03-16 03:15:51,2025-03-16 08:28:17,50,17.6,298,309,130,117,51,11,602,55,97,62,false
2025-03-15 00:17:57,2025-03-16 03:15:51,UTC-04:00,2025-03-15 00:17:57,2025-03-15 08:02:46,84,16.7,452,464,251,97,104,12,538,60,97,84,false
