Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-03-26 22:53:53,2025-03-27 23:27:46,UTC-04:00,2025-03-27 07:36:00,2025-03-27 08:12:07,36,Walking,7.6,268.0,137,120,82,3,0,0,0,false,,,
2025-03-26 22:53:53,2025-03-27 23:27:46,UTC-04:00,2025-03-27 06:00:00,2025-03-27 07:22:00,82,Weightlifting,15.4,172.0,130,87,14,0,0,0,0,false,,,
2025-03-25 22:14:24,2025-03-26 22:53:53,UTC-04:00,2025-03-26 19:30:00,2025-03-26 21:30:00,120,Lacrosse,11.2,547.0,170,104,32,6,7,1,0,false,,,
2025-03-25 22:14:24,2025-03-26 22:53:53,UTC-04:00,2025-03-26 07:12:00,2025-03-26 07:47:00,35,Walking,7.8,272.0,140,122,81,8,0,0,0,false,,,
2025-03-25 22:14:24,2025-03-26 22:53:53,UTC-04:00,2025-03-26 06:00:00,2025-03-26 07:04:59,64,Weightlifting,11.6,164.0,141,91,20,1,0,0,0,false,,,
2025-03-24 22:46:08,2025-03-25 22:14:24,UTC-04:00,2025-03-25 19:30:00,2025-03-25 21:00:00,90,Lacrosse,9.6,449.0,164,106,33,15,4,0,0,false,,,
2025-03-24 01:10:18,2025-03-24 22:46:08,UTC-04:00,2025-03-24 07:48:00,2025-03-24 08:18:00,30,Walking,7.7,261.0,136,127,96,3,0,0,0,false,,,
2025-03-24 01:10:18,2025-03-24 22:46:08,UTC-04:00,2025-03-24 06:30:00,2025-03-24 07:45:00,75,Weightlifting,12.2,153.0,135,88,12,0,0,0,0,false,,,
2025-03-22 22:46:20,2025-03-24 00:10:18,UTC-05:00,2025-03-23 09:00:00,2025-03-23 12:30:00,210,Lacrosse,9.0,588.0,154,84,15,6,0,0,0,false,,,
2025-03-21 23:56:53,2025-03-22 22:46:20,UTC-05:00,2025-03-22 17:00:00,2025-03-22 20:00:00,180,Lacrosse,8.7,515.0,161,83,16,7,1,0,0,false,,,
2025-03-20 23:30:10,2025-03-22 00:56:53,UTC-04:00,2025-03-21 11:23:00,2025-03-21 11:48:00,25,Walking,8.8,266.0,150,137,9,89,0,0,0,false,,,
2025-03-20 23:30:10,2025-03-22 00:56:53,UTC-04:00,2025-03-21 10:30:30,2025-03-21 11:17:23,46,Weightlifting,11.3,116.0,135,91,20,0,0,0,0,false,,,
2025-03-19 22:35:47,2025-03-20 23:30:10,UTC-04:00,2025-03-20 07:50:00,2025-03-20 08:25:08,35,Walking,8.0,282.0,140,124,78,12,0,0,0,false,,,
2025-03-19 22:35:47,2025-03-20 23:30:10,UTC-04:00,2025-03-20 06:00:30,2025-03-20 07:30:59,90,Weightlifting,15.4,204.0,148,87,17,1,0,0,0,false,,,
2025-03-18 22:56:00,2025-03-19 22:35:47,UTC-04:00,2025-03-19 19:30:30,2025-03-19 21:30:59,120,Lacrosse,9.6,430.0,173,90,11,6,7,1,0,false,,,
2025-03-18 22:56:00,2025-03-19 22:35:47,UTC-04:00,2025-03-19 13:24:00,2025-03-19 15:15:00,111,Walking,8.2,407.0,142,101,48,2,0,0,0,false,,,
2025-03-18 22:56:00,2025-03-19 22:35:47,UTC-04:00,2025-03-19 07:18:00,2025-03-19 07:48:00,30,Walking,7.2,237.0,138,124,88,7,0,0,0,false,,,
2025-03-18 22:56:00,2025-03-19 22:35:47,UTC-04:00,2025-03-19 06:00:00,2025-03-19 07:17:59,77,Weightlifting,11.4,158.0,128,89,16,0,0,0,0,false,,,
2025-03-17 22:29:38,2025-03-18 22:56:00,UTC-04:00,2025-03-18 19:30:00,2025-03-18 21:07:00,97,Lacrosse,9.2,424.0,169,99,24,13,6,0,0,false,,,
2025-03-17 22:29:38,2025-03-18 22:56:00,UTC-04:00,2025-03-18 15:07:30,2025-03-18 15:23:59,16,Walking,5.0,92.0,133,112,97,0,0,0,0,false,,,
2025-03-17 22:29:38,2025-03-18 22:56:00,UTC-04:00,2025-03-18 10:42:00,2025-03-18 10:58:29,16,Walking,4.5,49.0,126,98,39,0,0,0,0,false,,,
2025-03-17 22:29:38,2025-03-18 22:56:00,UTC-04:00,2025-03-18 10:01:30,2025-03-18 10:41:24,39,Walking,6.5,212.0,136,110,76,0,0,0,0,false,,,
2025-03-16 21:08:38,2025-03-17 22:29:38,UTC-04:00,2025-03-17 07:06:00,2025-03-17 07:36:00,30,Walking,7.6,258.0,136,128,98,2,0,0,0,false,,,
2025-03-16 21:08:38,2025-03-17 22:29:38,UTC-04:00,2025-03-17 06:00:00,2025-03-17 07:05:00,65,Weightlifting,12.5,196.0,132,95,43,0,0,0,0,false,,,
2025-03-15 00:31:59,2025-03-16 01:02:43,UTC-04:00,2025-03-15 12:00:00,2025-03-15 15:18:00,198,Lacrosse,8.6,524.0,155,89,15,6,0,0,0,false,,,
2025-03-14 01:10:10,2025-03-15 00:31:59,UTC-04:00,2025-03-14 16:51:00,2025-03-14 17:16:29,25,Walking,5.5,136.0,150,111,93,1,0,0,0,false,,,
2025-03-12 23:02:49,2025-03-14 01:10:10,UTC-04:00,2025-03-13 15:52:30,2025-03-13 16:08:59,16,Walking,4.6,56.0,127,101,51,0,0,0,0,false,,,
2025-03-12 23:02:49,2025-03-14 01:10:10,UTC-04:00,2025-03-13 07:48:00,2025-03-13 08:18:23,30,Walking,7.4,241.0,137,124,84,9,0,0,0,false,,,
2025-03-12 23:02:49,2025-03-14 01:10:10,UTC-04:00,2025-03-13 06:00:00,2025-03-13 07:35:59,95,Weightlifting,15.5,265.0,140,90,32,1,0,0,0,false,,,
2025-03-11 22:37:11,2025-03-12 23:02:49,UTC-04:00,2025-03-12 19:31:30,2025-03-12 21:45:29,133,Lacrosse,12.0,637.0,172,105,34,7,10,0,0,false,,,
2025-03-11 22:37:11,2025-03-12 23:02:49,UTC-04:00,2025-03-12 16:07:30,2025-03-12 16:23:59,16,Walking,4.2,30.0,108,91,1,0,0,0,0,false,,,
2025-03-11 22:37:11,2025-03-12 23:02:49,UTC-04:00,2025-03-12 06:30:00,2025-03-12 07:08:00,38,Basketball,9.7,333.0,168,129,19,33,30,1,0,false,,,
2025-03-11 22:37:11,2025-03-12 23:02:49,UTC-04:00,2025-03-12 05:30:00,2025-03-12 06:30:00,60,Weightlifting,10.4,179.0,153,96,35,3,0,0,0,false,,,
2025-03-10 23:59:46,2025-03-11 22:37:11,UTC-04:00,2025-03-11 09:43:30,2025-03-11 10:25:54,42,Walking,7.4,258.0,140,113,50,19,0,0,0,false,,,
2025-03-09 21:19:10,2025-03-10 23:59:46,UTC-04:00,2025-03-10 07:27:00,2025-03-10 07:56:54,29,Walking,7.2,243.0,137,125,97,3,0,0,0,false,,,
2025-03-09 21:19:10,2025-03-10 23:59:46,UTC-04:00,2025-03-10 06:00:30,2025-03-10 07:17:06,76,Weightlifting,12.3,165.0,148,90,21,0,0,0,0,false,,,
2025-03-09 04:55:00,2025-03-09 21:19:10,UTC-04:00,2025-03-09 16:26:25,2025-03-09 16:53:56,27,Running,13.0,392.0,181,157,1,6,46,39,7,false,,,
2025-03-07 23:28:23,2025-03-09 03:55:00,UTC-05:00,2025-03-08 16:52:18,2025-03-08 17:48:34,56,Weightlifting,10.0,132.0,131,94,27,0,0,0,0,false,,,
2025-03-06 21:43:46,2025-03-07 23:28:23,UTC-05:00,2025-03-07 16:16:30,2025-03-07 16:59:08,42,Running,11.5,417.0,167,134,27,18,45,3,0,false,,,
2025-03-05 22:57:18,2025-03-06 21:43:46,UTC-05:00,2025-03-06 12:47:00,2025-03-06 12:54:00,7,Running,5.3,50.0,182,114,2,9,11,23,2,false,,,
2025-03-04 23:15:13,2025-03-05 22:57:18,UTC-05:00,2025-03-05 11:30:00,2025-03-05 15:30:00,240,Golf,5.5,389.0,131,84,7,0,0,0,0,false,,,
2025-03-03 22:25:27,2025-03-04 23:15:13,UTC-05:00,2025-03-04 13:20:00,2025-03-04 16:47:00,207,Golf,5.5,350.0,138,80,11,0,0,0,0,false,,,
2025-02-28 21:10:07,2025-03-01 23:44:54,UTC-05:00,2025-03-01 16:00:00,2025-03-01 19:30:59,210,Lacrosse,12.9,859.0,166,102,33,6,5,0,0,false,,,
2025-02-26 22:44:24,2025-02-28 02:34:31,UTC-05:00,2025-02-27 10:03:00,2025-02-27 10:20:59,17,Walking,6.1,143.0,165,123,59,32,5,1,0,false,,,
2025-02-26 22:44:24,2025-02-28 02:34:31,UTC-05:00,2025-02-27 07:18:00,2025-02-27 07:52:35,34,Walking,7.4,253.0,133,120,83,3,0,0,0,false,,,
2025-02-26 22:44:24,2025-02-28 02:34:31,UTC-05:00,2025-02-27 06:00:00,2025-02-27 07:06:59,66,Weightlifting,10.2,160.0,127,91,28,0,0,0,0,false,,,
2025-02-25 22:15:33,2025-02-26 22:44:24,UTC-05:00,2025-02-26 19:30:00,2025-02-26 21:00:12,90,Lacrosse,10.0,474.0,162,106,41,16,6,0,0,false,,,
2025-02-25 22:15:33,2025-02-26 22:44:24,UTC-05:00,2025-02-26 16:22:30,2025-02-26 17:01:29,38,Walking,10.3,345.0,162,127,22,13,47,0,0,false,,,
2025-02-25 22:15:33,2025-02-26 22:44:24,UTC-05:00,2025-02-26 07:22:30,2025-02-26 07:49:24,26,Walking,7.1,219.0,140,124,77,17,0,0,0,false,,,
2025-02-25 22:15:33,2025-02-26 22:44:24,UTC-05:00,2025-02-26 06:00:00,2025-02-26 07:18:00,78,Weightlifting,11.6,131.0,116,84,7,0,0,0,0,false,,,
2025-02-24 23:01:17,2025-02-25 22:15:33,UTC-05:00,2025-02-25 19:30:30,2025-02-25 20:59:59,89,Lacrosse,9.0,422.0,156,105,45,14,2,0,0,false,,,
2025-02-23 01:38:41,2025-02-23 21:43:34,UTC-05:00,2025-02-23 12:06:00,2025-02-23 14:43:59,157,Lacrosse,10.6,612.0,158,98,26,8,3,0,0,false,,,
2025-02-22 01:31:04,2025-02-23 01:38:41,UTC-05:00,2025-02-22 12:07:30,2025-02-22 14:45:29,157,Lacrosse,10.2,574.0,165,94,29,5,3,0,0,false,,,
2025-02-21 00:56:33,2025-02-22 01:31:04,UTC-05:00,2025-02-21 17:03:00,2025-02-21 17:31:06,28,Running,11.3,345.0,172,145,15,15,49,21,0,false,,,
2025-02-21 00:56:33,2025-02-22 01:31:04,UTC-05:00,2025-02-21 07:30:00,2025-02-21 08:00:00,30,Walking,4.4,66.0,113,85,13,0,0,0,0,false,,,
2025-02-19 22:38:37,2025-02-21 00:56:33,UTC-05:00,2025-02-20 07:02:30,2025-02-20 07:32:11,29,Walking,7.7,253.0,137,125,43,54,0,0,0,false,,,
2025-02-19 22:38:37,2025-02-21 00:56:33,UTC-05:00,2025-02-20 06:00:00,2025-02-20 07:01:00,61,Weightlifting,10.4,172.0,141,94,36,1,0,0,0,false,,,
2025-02-18 22:27:07,2025-02-19 22:38:37,UTC-05:00,2025-02-19 19:30:30,2025-02-19 21:01:30,91,Lacrosse,10.2,479.0,166,107,31,17,5,0,0,false,,,
2025-02-18 22:27:07,2025-02-19 22:38:37,UTC-05:00,2025-02-19 07:24:00,2025-02-19 07:54:06,30,Walking,7.6,252.0,139,125,60,38,0,0,0,false,,,
2025-02-18 22:27:07,2025-02-19 22:38:37,UTC-05:00,2025-02-19 06:00:00,2025-02-19 07:11:59,71,Weightlifting,11.7,150.0,134,84,18,0,0,0,0,false,,,
2025-02-17 22:02:56,2025-02-18 22:27:07,UTC-05:00,2025-02-18 19:30:30,2025-02-18 20:57:10,86,Lacrosse,7.3,315.0,156,97,44,5,0,0,0,false,,,
2025-02-15 22:21:17,2025-02-16 21:29:26,UTC-05:00,2025-02-16 11:55:30,2025-02-16 15:00:29,184,Lacrosse,10.1,627.0,163,91,24,6,1,0,0,false,,,
2025-02-15 01:30:35,2025-02-15 22:21:17,UTC-05:00,2025-02-15 12:19:30,2025-02-15 15:00:59,161,Lacrosse,12.2,660.0,173,98,19,6,7,2,0,false,,,
